sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
this_seems_fine_to_me 1579815692473 413 238 touchstart 196 59 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692549 413 238 touchmove 199 64 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692565 413 238 touchmove 205 71 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692582 413 238 touchmove 215 78 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692598 413 238 touchmove 226 84 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692615 413 238 touchmove 236 89 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692631 413 238 touchmove 245 94 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692648 413 238 touchmove 251 98 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692666 413 238 touchmove 254 103 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692681 413 238 touchmove 255 107 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692698 413 238 touchmove 255 110 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692715 413 238 touchmove 254 111 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692731 413 238 touchmove 250 112 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692748 413 238 touchmove 246 112 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692765 413 238 touchmove 245 112 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692790 413 238 touchmove 244 112 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692799 413 238 touchmove 245 109 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692814 413 238 touchmove 255 99 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692832 413 238 touchmove 269 84 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692848 413 238 touchmove 283 68 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692865 413 238 touchmove 296 53 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692882 413 238 touchmove 307 40 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692898 413 238 touchmove 313 32 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692914 413 238 touchmove 315 28 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692938 413 238 touchmove 312 27 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692948 413 238 touchmove 304 28 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692966 413 238 touchmove 285 37 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692981 413 238 touchmove 259 48 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815692998 413 238 touchmove 231 58 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815693016 413 238 touchmove 202 69 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815693032 413 238 touchmove 173 80 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815693050 413 238 touchmove 147 90 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815693066 413 238 touchmove 122 99 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815693083 413 238 touchmove 104 106 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815693098 413 238 touchmove 92 111 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815693114 413 238 touchmove 85 113 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815693131 413 238 touchmove 83 113 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815693149 413 238 touchend 83 113 24.212890625 24.212890625 0 this 0
this_seems_fine_to_me 1579815693870 413 238 touchstart 91 123 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815693915 413 238 touchmove 96 116 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815693932 413 238 touchmove 98 111 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815693950 413 238 touchmove 102 104 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815693965 413 238 touchmove 107 96 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815693983 413 238 touchmove 111 85 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815693998 413 238 touchmove 115 74 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694015 413 238 touchmove 118 64 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694034 413 238 touchmove 120 57 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694048 413 238 touchmove 122 54 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694065 413 238 touchmove 124 53 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694082 413 238 touchmove 127 53 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694098 413 238 touchmove 133 54 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694115 413 238 touchmove 140 59 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694132 413 238 touchmove 147 65 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694148 413 238 touchmove 156 71 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694165 413 238 touchmove 166 77 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694182 413 238 touchmove 177 86 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694198 413 238 touchmove 189 97 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694215 413 238 touchmove 200 109 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694231 413 238 touchmove 211 120 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694248 413 238 touchmove 224 128 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694265 413 238 touchmove 235 134 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694282 413 238 touchmove 247 139 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694299 413 238 touchmove 258 144 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694315 413 238 touchmove 269 151 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694331 413 238 touchmove 279 158 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694348 413 238 touchmove 287 163 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694365 413 238 touchmove 294 166 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694382 413 238 touchmove 299 167 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694398 413 238 touchmove 303 167 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694415 413 238 touchmove 304 168 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694432 413 238 touchmove 304 169 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694472 413 238 touchmove 303 169 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694481 413 238 touchmove 301 169 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694498 413 238 touchmove 298 168 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694515 413 238 touchmove 294 167 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694531 413 238 touchmove 292 167 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694548 413 238 touchmove 289 166 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694565 413 238 touchmove 287 165 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694582 413 238 touchmove 285 164 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694599 413 238 touchmove 283 162 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694615 413 238 touchmove 282 161 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694631 413 238 touchmove 282 160 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694657 413 238 touchmove 282 159 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694722 413 238 touchmove 284 160 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694731 413 238 touchmove 286 161 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694748 413 238 touchmove 289 163 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694766 413 238 touchmove 291 166 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694781 413 238 touchmove 294 168 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694798 413 238 touchmove 297 170 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694815 413 238 touchmove 300 172 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694831 413 238 touchmove 302 173 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694849 413 238 touchmove 303 174 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694899 413 238 touchmove 298 174 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694915 413 238 touchmove 290 171 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694932 413 238 touchmove 277 165 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694948 413 238 touchmove 262 156 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694965 413 238 touchmove 243 143 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694982 413 238 touchmove 222 129 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815694998 413 238 touchmove 200 115 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815695015 413 238 touchmove 179 100 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815695033 413 238 touchmove 160 87 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815695049 413 238 touchmove 143 77 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815695065 413 238 touchmove 128 68 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815695082 413 238 touchmove 114 61 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815695098 413 238 touchmove 103 54 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815695116 413 238 touchmove 95 49 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815695131 413 238 touchmove 91 46 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815695148 413 238 touchmove 91 45 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815695173 413 238 touchmove 92 45 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815695181 413 238 touchmove 95 47 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815695198 413 238 touchmove 104 54 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815695215 413 238 touchmove 116 65 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815695231 413 238 touchmove 130 79 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815695248 413 238 touchmove 144 93 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815695265 413 238 touchmove 160 105 36.3125 36.3125 0 seems 1
this_seems_fine_to_me 1579815695282 413 238 touchmove 176 115 36.3125 36.3125 0 seems 1
