sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
and_leave_my_school_alone 1580834525152 375 217 touchstart 20 72 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525201 375 217 touchmove 27 71 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525213 375 217 touchmove 43 72 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525229 375 217 touchmove 63 75 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525241 375 217 touchmove 102 88 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525256 375 217 touchmove 139 105 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525272 375 217 touchmove 170 120 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525289 375 217 touchmove 192 133 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525314 375 217 touchmove 219 145 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525328 375 217 touchmove 227 151 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525343 375 217 touchmove 233 154 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525357 375 217 touchmove 238 156 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525374 375 217 touchmove 240 157 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525430 375 217 touchmove 238 154 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525444 375 217 touchmove 231 147 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525458 375 217 touchmove 201 126 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525473 375 217 touchmove 161 106 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525489 375 217 touchmove 129 95 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525515 375 217 touchmove 87 81 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525530 375 217 touchmove 75 78 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525543 375 217 touchmove 67 74 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525558 375 217 touchmove 66 74 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525574 375 217 touchmove 66 73 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525601 375 217 touchend 66 73 51.556640625 51.556640625 0 and 0
and_leave_my_school_alone 1580834525860 375 217 touchmove 308 81 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834525874 375 217 touchmove 267 59 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834525890 375 217 touchmove 225 39 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834525906 375 217 touchmove 186 31 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834525932 375 217 touchmove 139 27 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834525946 375 217 touchmove 126 27 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834525960 375 217 touchmove 103 27 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834525975 375 217 touchmove 83 29 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834525991 375 217 touchmove 66 33 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526009 375 217 touchmove 52 39 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526031 375 217 touchmove 41 47 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526046 375 217 touchmove 40 51 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526060 375 217 touchmove 40 53 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526075 375 217 touchmove 63 74 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526090 375 217 touchmove 92 96 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526104 375 217 touchmove 119 118 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526132 375 217 touchmove 150 142 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526146 375 217 touchmove 160 147 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526160 375 217 touchmove 168 147 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526175 375 217 touchmove 174 145 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526193 375 217 touchmove 174 143 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526206 375 217 touchmove 175 139 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526231 375 217 touchmove 151 92 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526246 375 217 touchmove 129 71 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526260 375 217 touchmove 109 53 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526274 375 217 touchmove 93 40 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526291 375 217 touchmove 79 31 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526305 375 217 touchmove 70 23 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526332 375 217 touchmove 66 20 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526376 375 217 touchend 66 20 38.6640625 38.6640625 0 leave 0
and_leave_my_school_alone 1580834526571 375 217 touchstart 302 147 38.6640625 38.6640625 0 my 0
and_leave_my_school_alone 1580834526663 375 217 touchmove 301 142 38.6640625 38.6640625 0 my 0
and_leave_my_school_alone 1580834526675 375 217 touchmove 293 119 38.6640625 38.6640625 0 my 0
and_leave_my_school_alone 1580834526692 375 217 touchmove 273 87 38.6640625 38.6640625 0 my 0
and_leave_my_school_alone 1580834526706 375 217 touchmove 252 56 38.6640625 38.6640625 0 my 0
and_leave_my_school_alone 1580834526722 375 217 touchmove 232 34 38.6640625 38.6640625 0 my 0
and_leave_my_school_alone 1580834526748 375 217 touchmove 209 11 38.6640625 38.6640625 0 my 0
and_leave_my_school_alone 1580834526762 375 217 touchmove 205 8 38.6640625 38.6640625 0 my 0
and_leave_my_school_alone 1580834526776 375 217 touchmove 203 6 38.6640625 38.6640625 0 my 0
and_leave_my_school_alone 1580834526791 375 217 touchmove 202 6 38.6640625 38.6640625 0 my 0
and_leave_my_school_alone 1580834526852 375 217 touchend 202 6 38.6640625 38.6640625 0 my 0
and_leave_my_school_alone 1580834527091 375 217 touchmove 87 90 38.6640625 38.6640625 0 school 0
and_leave_my_school_alone 1580834527108 375 217 touchmove 121 117 38.6640625 38.6640625 0 school 0
and_leave_my_school_alone 1580834527121 375 217 touchmove 134 126 38.6640625 38.6640625 0 school 0
and_leave_my_school_alone 1580834527138 375 217 touchmove 142 126 38.6640625 38.6640625 0 school 0
and_leave_my_school_alone 1580834527164 375 217 touchmove 156 127 38.6640625 38.6640625 0 school 0
