sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
we_are_all_fragile 1583127216991 375 217 touchstart 60 31 24.235107421875 24.235107421875 0 we 0
we_are_all_fragile 1583127217057 375 217 touchmove 65 30 24.235107421875 24.235107421875 0 we 0
we_are_all_fragile 1583127217073 375 217 touchmove 70 30 24.235107421875 24.235107421875 0 we 0
we_are_all_fragile 1583127217097 375 217 touchmove 78 30 24.235107421875 24.235107421875 0 we 0
we_are_all_fragile 1583127217106 375 217 touchmove 85 30 24.235107421875 24.235107421875 0 we 0
we_are_all_fragile 1583127217126 375 217 touchmove 91 30 24.235107421875 24.235107421875 0 we 0
we_are_all_fragile 1583127217141 375 217 touchmove 96 30 24.235107421875 24.235107421875 0 we 0
we_are_all_fragile 1583127217158 375 217 touchmove 99 30 24.235107421875 24.235107421875 0 we 0
we_are_all_fragile 1583127217174 375 217 touchmove 102 31 24.235107421875 24.235107421875 0 we 0
we_are_all_fragile 1583127217192 375 217 touchmove 105 32 24.235107421875 24.235107421875 0 we 0
we_are_all_fragile 1583127217208 375 217 touchmove 108 32 24.235107421875 24.235107421875 0 we 0
we_are_all_fragile 1583127217225 375 217 touchmove 110 33 24.235107421875 24.235107421875 0 we 0
we_are_all_fragile 1583127217241 375 217 touchmove 111 34 24.235107421875 24.235107421875 0 we 0
we_are_all_fragile 1583127217257 375 217 touchmove 112 34 24.235107421875 24.235107421875 0 we 0
we_are_all_fragile 1583127217276 375 217 touchmove 113 35 24.235107421875 24.235107421875 0 we 0
we_are_all_fragile 1583127217284 375 217 touchmove 113 36 24.235107421875 24.235107421875 0 we 0
we_are_all_fragile 1583127217286 375 217 touchend 113 36 24.235107421875 24.235107421875 0 we 0
we_are_all_fragile 1583127218796 375 217 touchstart 30 96 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127218839 375 217 touchmove 37 90 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127218856 375 217 touchmove 43 86 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127218874 375 217 touchmove 48 83 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127218890 375 217 touchmove 54 79 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127218907 375 217 touchmove 61 76 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127218923 375 217 touchmove 73 70 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127218940 375 217 touchmove 88 63 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127218956 375 217 touchmove 104 54 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127218972 375 217 touchmove 118 48 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127218991 375 217 touchmove 127 45 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219006 375 217 touchmove 131 44 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219023 375 217 touchmove 134 44 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219040 375 217 touchmove 135 43 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219058 375 217 touchmove 136 43 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219074 375 217 touchmove 136 42 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219089 375 217 touchmove 136 41 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219106 375 217 touchmove 136 39 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219122 375 217 touchmove 133 35 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219140 375 217 touchmove 129 30 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219157 375 217 touchmove 125 24 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219172 375 217 touchmove 119 20 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219189 375 217 touchmove 113 17 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219206 375 217 touchmove 108 15 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219224 375 217 touchmove 105 14 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219240 375 217 touchmove 103 14 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219255 375 217 touchmove 100 14 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219273 375 217 touchmove 97 14 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219291 375 217 touchmove 93 15 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219300 375 217 touchmove 92 15 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219301 375 217 touchend 92 15 24.235107421875 24.235107421875 0 are 0
we_are_all_fragile 1583127219788 375 217 touchmove 119 82 24.235107421875 24.235107421875 0 all 0
we_are_all_fragile 1583127219806 375 217 touchmove 140 82 24.235107421875 24.235107421875 0 all 0
we_are_all_fragile 1583127219823 375 217 touchmove 167 82 24.235107421875 24.235107421875 0 all 0
we_are_all_fragile 1583127219840 375 217 touchmove 198 78 24.235107421875 24.235107421875 0 all 0
we_are_all_fragile 1583127219856 375 217 touchmove 229 74 24.235107421875 24.235107421875 0 all 0
we_are_all_fragile 1583127219871 375 217 touchmove 258 73 24.235107421875 24.235107421875 0 all 0
we_are_all_fragile 1583127219888 375 217 touchmove 282 73 24.235107421875 24.235107421875 0 all 0
we_are_all_fragile 1583127219905 375 217 touchmove 298 77 24.235107421875 24.235107421875 0 all 0
we_are_all_fragile 1583127219923 375 217 touchmove 309 81 24.235107421875 24.235107421875 0 all 0
we_are_all_fragile 1583127219940 375 217 touchmove 317 83 24.235107421875 24.235107421875 0 all 0
we_are_all_fragile 1583127219957 375 217 touchmove 322 83 24.235107421875 24.235107421875 0 all 0
we_are_all_fragile 1583127219972 375 217 touchmove 325 83 24.235107421875 24.235107421875 0 all 0
we_are_all_fragile 1583127219989 375 217 touchmove 329 84 24.235107421875 24.235107421875 0 all 0
we_are_all_fragile 1583127220006 375 217 touchmove 331 84 24.235107421875 24.235107421875 0 all 0
we_are_all_fragile 1583127220022 375 217 touchmove 332 84 24.235107421875 24.235107421875 0 all 0
we_are_all_fragile 1583127220038 375 217 touchmove 332 85 24.235107421875 24.235107421875 0 all 0
we_are_all_fragile 1583127220072 375 217 touchmove 331 85 24.235107421875 24.235107421875 0 all 0
we_are_all_fragile 1583127220089 375 217 touchmove 328 85 24.235107421875 24.235107421875 0 all 0
