sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
customer_mechanical_shield_india 1583722151152 413 241 touchstart 161 147 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151196 413 241 touchmove 170 144 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151213 413 241 touchmove 180 140 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151229 413 241 touchmove 191 132 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151245 413 241 touchmove 205 119 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151264 413 241 touchmove 220 104 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151280 413 241 touchmove 235 86 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151296 413 241 touchmove 251 70 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151312 413 241 touchmove 265 55 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151329 413 241 touchmove 275 43 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151345 413 241 touchmove 282 34 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151363 413 241 touchmove 282 28 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151382 413 241 touchmove 281 25 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151396 413 241 touchmove 274 24 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151413 413 241 touchmove 264 24 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151430 413 241 touchmove 248 31 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151447 413 241 touchmove 226 45 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151463 413 241 touchmove 203 65 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151481 413 241 touchmove 183 85 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151495 413 241 touchmove 168 102 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151512 413 241 touchmove 156 111 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151529 413 241 touchmove 149 113 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151545 413 241 touchmove 144 114 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151563 413 241 touchmove 138 115 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151579 413 241 touchmove 134 115 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151595 413 241 touchmove 130 115 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151612 413 241 touchmove 127 114 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151629 413 241 touchmove 124 109 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151645 413 241 touchmove 122 102 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151664 413 241 touchmove 121 91 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151683 413 241 touchmove 124 77 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151695 413 241 touchmove 133 62 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151713 413 241 touchmove 143 50 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151731 413 241 touchmove 154 38 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151745 413 241 touchmove 167 26 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151763 413 241 touchmove 184 15 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151781 413 241 touchmove 204 9 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151795 413 241 touchmove 225 8 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151812 413 241 touchmove 247 9 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151828 413 241 touchmove 267 14 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151846 413 241 touchmove 285 17 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151864 413 241 touchmove 300 17 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151883 413 241 touchmove 311 17 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151895 413 241 touchmove 323 14 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151913 413 241 touchmove 331 13 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151928 413 241 touchmove 336 13 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151945 413 241 touchmove 340 23 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151963 413 241 touchmove 341 44 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151982 413 241 touchmove 336 80 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722151996 413 241 touchmove 328 109 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722152013 413 241 touchmove 325 125 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722152028 413 241 touchmove 324 131 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722152045 413 241 touchmove 323 135 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722152063 413 241 touchmove 320 137 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722152079 413 241 touchmove 313 138 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722152096 413 241 touchmove 301 138 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722152113 413 241 touchmove 283 138 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722152128 413 241 touchmove 261 134 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722152145 413 241 touchmove 241 124 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722152163 413 241 touchmove 225 113 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722152181 413 241 touchmove 210 101 51.556640625 51.556640625 0 customer 0
customer_mechanical_shield_india 1583722152195 413 241 touchmove 194 88 51.556640625 51.556640625 0 customer 0
