sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
if_so_what_was_it 1580578835573 320 167 touchstart 241 8 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835617 320 167 touchmove 233 12 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835634 320 167 touchmove 229 14 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835650 320 167 touchmove 222 17 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835666 320 167 touchmove 213 22 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835683 320 167 touchmove 201 28 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835700 320 167 touchmove 188 36 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835717 320 167 touchmove 175 42 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835733 320 167 touchmove 165 47 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835750 320 167 touchmove 153 51 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835766 320 167 touchmove 143 54 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835783 320 167 touchmove 132 57 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835800 320 167 touchmove 119 61 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835816 320 167 touchmove 109 65 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835833 320 167 touchmove 99 69 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835850 320 167 touchmove 91 70 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835866 320 167 touchmove 85 72 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835885 320 167 touchmove 79 73 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835900 320 167 touchmove 73 74 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835917 320 167 touchmove 67 75 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835933 320 167 touchmove 62 76 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835950 320 167 touchmove 58 77 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835966 320 167 touchmove 55 78 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578835983 320 167 touchmove 53 78 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836000 320 167 touchmove 52 79 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836033 320 167 touchmove 52 80 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836051 320 167 touchend 52 80 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836405 320 167 touchstart 51 71 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836449 320 167 touchmove 54 76 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836466 320 167 touchmove 59 76 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836483 320 167 touchmove 66 76 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836499 320 167 touchmove 79 75 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836517 320 167 touchmove 100 70 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836533 320 167 touchmove 124 63 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836550 320 167 touchmove 147 57 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836567 320 167 touchmove 159 54 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836583 320 167 touchmove 168 52 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836600 320 167 touchmove 176 50 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836617 320 167 touchmove 184 49 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836633 320 167 touchmove 194 48 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836650 320 167 touchmove 209 46 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836667 320 167 touchmove 225 44 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836683 320 167 touchmove 246 40 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836700 320 167 touchmove 257 39 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836717 320 167 touchmove 267 37 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836733 320 167 touchmove 274 35 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836750 320 167 touchmove 280 34 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836766 320 167 touchmove 284 32 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836783 320 167 touchmove 286 32 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836816 320 167 touchmove 287 32 25.647583007812 25.647583007812 0 if 1
if_so_what_was_it 1580578836870 320 167 touchend 287 32 25.647583007812 25.647583007812 0 if 1
