sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
thursday_works_better_for_me 1583388015941 413 241 touchstart 183 30 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016033 413 241 touchmove 197 39 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016040 413 241 touchmove 198 42 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016049 413 241 touchmove 200 46 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016057 413 241 touchmove 202 51 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016073 413 241 touchmove 206 65 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016090 413 241 touchmove 211 84 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016107 413 241 touchmove 217 102 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016124 413 241 touchmove 225 116 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016142 413 241 touchmove 233 124 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016156 413 241 touchmove 241 126 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016173 413 241 touchmove 248 125 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016191 413 241 touchmove 253 116 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016208 413 241 touchmove 259 98 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016224 413 241 touchmove 264 77 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016242 413 241 touchmove 270 58 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016257 413 241 touchmove 277 43 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016274 413 241 touchmove 283 31 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016291 413 241 touchmove 288 23 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016307 413 241 touchmove 291 17 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016324 413 241 touchmove 293 13 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016340 413 241 touchmove 294 11 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016407 413 241 touchmove 294 12 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016424 413 241 touchmove 292 13 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016440 413 241 touchmove 290 13 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016457 413 241 touchmove 286 14 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016475 413 241 touchmove 279 15 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016491 413 241 touchmove 268 17 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016507 413 241 touchmove 251 20 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016525 413 241 touchmove 231 23 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016541 413 241 touchmove 211 26 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016557 413 241 touchmove 193 29 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016575 413 241 touchmove 178 31 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016592 413 241 touchmove 166 35 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016608 413 241 touchmove 157 40 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016625 413 241 touchmove 149 49 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016641 413 241 touchmove 142 59 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016658 413 241 touchmove 135 73 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016675 413 241 touchmove 128 88 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016692 413 241 touchmove 121 103 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016708 413 241 touchmove 115 114 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016723 413 241 touchmove 109 122 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016741 413 241 touchmove 103 126 38.6640625 38.6640625 0 thursday 0
thursday_works_better_for_me 1583388016758 413 241 touchmove 100 128 38.6640625 38.6640625 0 thursday 0
