sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
im_going_to_class 1580923752083 413 241 touchstart 317 5 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752105 413 241 touchmove 316 15 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752121 413 241 touchmove 316 24 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752134 413 241 touchmove 316 29 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752155 413 241 touchmove 320 47 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752173 413 241 touchmove 324 60 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752185 413 241 touchmove 326 66 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752206 413 241 touchmove 333 85 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752218 413 241 touchmove 336 92 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752235 413 241 touchmove 340 106 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752251 413 241 touchmove 342 118 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752268 413 241 touchmove 343 133 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752285 413 241 touchmove 343 146 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752301 413 241 touchmove 341 156 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752318 413 241 touchmove 339 163 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752335 413 241 touchmove 339 165 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752355 413 241 touchmove 337 167 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752368 413 241 touchmove 336 168 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752388 413 241 touchmove 332 171 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752401 413 241 touchmove 331 173 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923752405 413 241 touchend 331 173 25.771484375 25.771484375 0 im 0
im_going_to_class 1580923753065 413 241 touchstart 209 94 25.771484375 25.771484375 0 going 0
