sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
please_call_tomorrow_if_possible 1583422416728 375 217 touchstart 366 19 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422416778 375 217 touchmove 355 28 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422416794 375 217 touchmove 355 30 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422416796 375 217 touchmove 354 34 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422416810 375 217 touchmove 353 44 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422416827 375 217 touchmove 353 55 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422416845 375 217 touchmove 353 66 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422416862 375 217 touchmove 353 76 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422416879 375 217 touchmove 353 83 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422416894 375 217 touchmove 353 89 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422416910 375 217 touchmove 353 91 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422416927 375 217 touchmove 349 92 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422416943 375 217 touchmove 338 92 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422416960 375 217 touchmove 308 87 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422416978 375 217 touchmove 238 66 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422416995 375 217 touchmove 174 50 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417010 375 217 touchmove 144 36 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417027 375 217 touchmove 120 25 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417044 375 217 touchmove 102 18 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417061 375 217 touchmove 88 12 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417079 375 217 touchmove 79 12 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417096 375 217 touchmove 76 12 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417113 375 217 touchmove 76 16 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417129 375 217 touchmove 74 23 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417145 375 217 touchmove 67 39 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417163 375 217 touchmove 58 59 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417179 375 217 touchmove 49 81 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417196 375 217 touchmove 42 94 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417212 375 217 touchmove 39 98 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417261 375 217 touchmove 44 96 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417277 375 217 touchmove 55 92 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417294 375 217 touchmove 71 80 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417313 375 217 touchmove 89 63 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417332 375 217 touchmove 98 52 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417346 375 217 touchmove 100 46 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417361 375 217 touchmove 100 41 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417377 375 217 touchmove 100 35 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417394 375 217 touchmove 97 31 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417411 375 217 touchmove 95 29 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417428 375 217 touchmove 94 28 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417449 375 217 touchend 94 28 24.212890625 24.212890625 0 please 0
please_call_tomorrow_if_possible 1583422417827 375 217 touchstart 154 135 36.3125 36.3125 0 call 0
please_call_tomorrow_if_possible 1583422417858 375 217 touchmove 141 134 36.3125 36.3125 0 call 0
please_call_tomorrow_if_possible 1583422417875 375 217 touchmove 129 132 36.3125 36.3125 0 call 0
please_call_tomorrow_if_possible 1583422417891 375 217 touchmove 113 127 36.3125 36.3125 0 call 0
please_call_tomorrow_if_possible 1583422417907 375 217 touchmove 93 118 36.3125 36.3125 0 call 0
please_call_tomorrow_if_possible 1583422417928 375 217 touchmove 62 104 36.3125 36.3125 0 call 0
please_call_tomorrow_if_possible 1583422417945 375 217 touchmove 35 92 36.3125 36.3125 0 call 0
please_call_tomorrow_if_possible 1583422417963 375 217 touchmove 22 86 36.3125 36.3125 0 call 0
