sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
both_of_us_are_still_here 1581684656433 413 241 touchstart 245 157 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656462 413 241 touchmove 252 150 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656472 413 241 touchmove 256 148 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656490 413 241 touchmove 268 141 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656506 413 241 touchmove 286 128 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656520 413 241 touchmove 302 112 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656537 413 241 touchmove 315 91 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656554 413 241 touchmove 323 65 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656572 413 241 touchmove 325 42 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656587 413 241 touchmove 324 24 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656606 413 241 touchmove 313 9 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656621 413 241 touchmove 298 -2 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656637 413 241 touchmove 277 -7 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656656 413 241 touchmove 254 -9 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656672 413 241 touchmove 229 -9 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656688 413 241 touchmove 207 -8 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656707 413 241 touchmove 190 0 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656726 413 241 touchmove 176 12 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656738 413 241 touchmove 168 25 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656755 413 241 touchmove 165 39 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656770 413 241 touchmove 165 53 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656788 413 241 touchmove 172 67 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656805 413 241 touchmove 185 80 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656822 413 241 touchmove 204 92 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656839 413 241 touchmove 226 101 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656855 413 241 touchmove 248 107 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656872 413 241 touchmove 268 109 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656888 413 241 touchmove 288 113 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684656895 413 241 touchend 288 113 25.771484375 25.771484375 0 both 0
both_of_us_are_still_here 1581684657688 413 241 touchstart 347 19 25.771484375 25.771484375 0 of 0
both_of_us_are_still_here 1581684657703 413 241 touchmove 336 20 25.771484375 25.771484375 0 of 0
both_of_us_are_still_here 1581684657714 413 241 touchmove 332 20 25.771484375 25.771484375 0 of 0
both_of_us_are_still_here 1581684657731 413 241 touchmove 322 28 25.771484375 25.771484375 0 of 0
both_of_us_are_still_here 1581684657748 413 241 touchmove 309 37 25.771484375 25.771484375 0 of 0
both_of_us_are_still_here 1581684657754 413 241 touchmove 302 42 25.771484375 25.771484375 0 of 0
both_of_us_are_still_here 1581684657770 413 241 touchmove 283 55 25.771484375 25.771484375 0 of 0
both_of_us_are_still_here 1581684657787 413 241 touchmove 263 65 25.771484375 25.771484375 0 of 0
both_of_us_are_still_here 1581684657802 413 241 touchmove 242 73 25.771484375 25.771484375 0 of 0
both_of_us_are_still_here 1581684657818 413 241 touchmove 222 80 25.771484375 25.771484375 0 of 0
both_of_us_are_still_here 1581684657835 413 241 touchmove 206 87 25.771484375 25.771484375 0 of 0
both_of_us_are_still_here 1581684657851 413 241 touchmove 191 96 25.771484375 25.771484375 0 of 0
both_of_us_are_still_here 1581684657868 413 241 touchmove 180 104 25.771484375 25.771484375 0 of 0
both_of_us_are_still_here 1581684657886 413 241 touchmove 169 114 25.771484375 25.771484375 0 of 0
both_of_us_are_still_here 1581684657902 413 241 touchmove 158 124 25.771484375 25.771484375 0 of 0
both_of_us_are_still_here 1581684657919 413 241 touchmove 148 130 25.771484375 25.771484375 0 of 0
both_of_us_are_still_here 1581684657936 413 241 touchmove 140 133 25.771484375 25.771484375 0 of 0
both_of_us_are_still_here 1581684657955 413 241 touchmove 136 134 25.771484375 25.771484375 0 of 0
both_of_us_are_still_here 1581684657980 413 241 touchend 136 134 25.771484375 25.771484375 0 of 0
