sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
get_with_mary_for_format 1582523378241 413 235 touchstart 200 111 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378258 413 235 touchmove 191 105 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378271 413 235 touchmove 182 103 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378288 413 235 touchmove 172 99 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378306 413 235 touchmove 158 94 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378325 413 235 touchmove 139 89 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378340 413 235 touchmove 118 84 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378356 413 235 touchmove 98 77 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378373 413 235 touchmove 81 69 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378390 413 235 touchmove 67 60 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378406 413 235 touchmove 58 51 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378423 413 235 touchmove 55 44 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378439 413 235 touchmove 55 38 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378456 413 235 touchmove 61 33 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378473 413 235 touchmove 79 29 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378489 413 235 touchmove 103 28 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378506 413 235 touchmove 126 28 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378523 413 235 touchmove 145 29 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378539 413 235 touchmove 160 30 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378557 413 235 touchmove 171 34 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378573 413 235 touchmove 179 37 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378589 413 235 touchmove 184 42 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378606 413 235 touchmove 188 48 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378623 413 235 touchmove 193 58 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523378630 413 235 touchend 193 58 24.212890625 24.212890625 0 get 0
get_with_mary_for_format 1582523379275 413 235 touchstart 67 44 24.212890625 24.212890625 0 with 0
get_with_mary_for_format 1582523379306 413 235 touchmove 76 45 24.212890625 24.212890625 0 with 0
get_with_mary_for_format 1582523379323 413 235 touchmove 87 45 24.212890625 24.212890625 0 with 0
get_with_mary_for_format 1582523379338 413 235 touchmove 108 45 24.212890625 24.212890625 0 with 0
get_with_mary_for_format 1582523379355 413 235 touchmove 137 49 24.212890625 24.212890625 0 with 0
get_with_mary_for_format 1582523379364 413 235 touchmove 152 50 24.212890625 24.212890625 0 with 0
get_with_mary_for_format 1582523379373 413 235 touchmove 169 51 24.212890625 24.212890625 0 with 0
get_with_mary_for_format 1582523379389 413 235 touchmove 200 51 24.212890625 24.212890625 0 with 0
get_with_mary_for_format 1582523379406 413 235 touchmove 227 50 24.212890625 24.212890625 0 with 0
