sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
has_anyone_else_heard_anything 1581860559440 413 241 touchstart 249 109 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559485 413 241 touchmove 239 107 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559502 413 241 touchmove 231 107 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559519 413 241 touchmove 217 107 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559531 413 241 touchmove 208 107 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559550 413 241 touchmove 188 110 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559566 413 241 touchmove 167 112 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559584 413 241 touchmove 144 114 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559600 413 241 touchmove 123 116 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559616 413 241 touchmove 102 118 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559632 413 241 touchmove 84 118 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559650 413 241 touchmove 70 118 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559666 413 241 touchmove 59 118 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559683 413 241 touchmove 51 117 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559699 413 241 touchmove 47 115 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559716 413 241 touchmove 46 115 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559735 413 241 touchmove 46 114 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559801 413 241 touchmove 47 114 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559817 413 241 touchmove 51 114 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559834 413 241 touchmove 56 114 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559851 413 241 touchmove 64 114 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559866 413 241 touchmove 75 113 36.3125 36.3125 0 has 0
has_anyone_else_heard_anything 1581860559883 413 241 touchmove 88 112 36.3125 36.3125 0 has 0
