sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
i_think_that_is_the_right_answer 1582915697460 413 239 touchstart 312 36 24.212890625 24.212890625 0 i 0
i_think_that_is_the_right_answer 1582915697529 413 239 touchend 312 36 24.212890625 24.212890625 0 i 0
i_think_that_is_the_right_answer 1582915697968 413 239 touchstart 183 24 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698002 413 239 touchmove 198 32 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698019 413 239 touchmove 207 38 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698036 413 239 touchmove 220 44 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698047 413 239 touchmove 225 47 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698060 413 239 touchmove 234 55 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698068 413 239 touchmove 237 60 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698086 413 239 touchmove 241 68 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698103 413 239 touchmove 243 76 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698119 413 239 touchmove 244 83 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698135 413 239 touchmove 245 90 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698152 413 239 touchmove 245 96 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698168 413 239 touchmove 245 101 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698185 413 239 touchmove 245 103 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698202 413 239 touchmove 245 104 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698235 413 239 touchmove 245 101 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698253 413 239 touchmove 249 81 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698269 413 239 touchmove 259 53 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698286 413 239 touchmove 269 36 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698302 413 239 touchmove 276 26 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698318 413 239 touchmove 282 21 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698335 413 239 touchmove 287 20 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698352 413 239 touchmove 293 20 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698369 413 239 touchmove 299 20 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698388 413 239 touchmove 302 27 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698404 413 239 touchmove 303 39 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698421 413 239 touchmove 303 57 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698436 413 239 touchmove 299 75 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698453 413 239 touchmove 296 93 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698469 413 239 touchmove 294 106 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698486 413 239 touchmove 293 121 36.3125 36.3125 0 think 0
i_think_that_is_the_right_answer 1582915698502 413 239 touchmove 293 132 36.3125 36.3125 0 think 0
