sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
are_you_being_a_baby 1582929813951 413 214 touchstart 26 96 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814027 413 214 touchmove 37 91 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814044 413 214 touchmove 41 91 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814061 413 214 touchmove 45 88 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814077 413 214 touchmove 53 85 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814093 413 214 touchmove 63 79 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814110 413 214 touchmove 74 73 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814127 413 214 touchmove 86 69 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814144 413 214 touchmove 99 66 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814160 413 214 touchmove 113 63 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814177 413 214 touchmove 126 60 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814194 413 214 touchmove 140 55 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814210 413 214 touchmove 151 50 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814226 413 214 touchmove 162 46 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814243 413 214 touchmove 169 42 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814260 413 214 touchmove 174 40 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814277 413 214 touchmove 177 37 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814296 413 214 touchmove 177 34 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814310 413 214 touchmove 177 31 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814327 413 214 touchmove 170 28 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814343 413 214 touchmove 159 25 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814360 413 214 touchmove 147 22 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814377 413 214 touchmove 134 22 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814393 413 214 touchmove 121 22 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814410 413 214 touchmove 108 22 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814427 413 214 touchmove 98 22 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814444 413 214 touchmove 85 24 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814460 413 214 touchmove 69 29 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929814476 413 214 touchend 69 29 21.15234375 21.15234375 0 are 0
are_you_being_a_baby 1582929815738 413 214 touchstart 229 23 21.15234375 21.15234375 0 you 0
are_you_being_a_baby 1582929815776 413 214 touchmove 233 24 21.15234375 21.15234375 0 you 0
are_you_being_a_baby 1582929815794 413 214 touchmove 241 25 21.15234375 21.15234375 0 you 0
are_you_being_a_baby 1582929815811 413 214 touchmove 255 25 21.15234375 21.15234375 0 you 0
are_you_being_a_baby 1582929815827 413 214 touchmove 276 25 21.15234375 21.15234375 0 you 0
are_you_being_a_baby 1582929815844 413 214 touchmove 301 24 21.15234375 21.15234375 0 you 0
are_you_being_a_baby 1582929815860 413 214 touchmove 333 24 21.15234375 21.15234375 0 you 0
are_you_being_a_baby 1582929815877 413 214 touchmove 365 25 21.15234375 21.15234375 0 you 0
are_you_being_a_baby 1582929815894 413 214 touchmove 388 28 21.15234375 21.15234375 0 you 0
are_you_being_a_baby 1582929815910 413 214 touchmove 401 29 21.15234375 21.15234375 0 you 0
are_you_being_a_baby 1582929815927 413 214 touchmove 409 29 21.15234375 21.15234375 0 you 0
are_you_being_a_baby 1582929815944 413 214 touchmove 412 29 21.15234375 21.15234375 0 you 0
are_you_being_a_baby 1582929815960 413 214 touchmove 412 27 21.15234375 21.15234375 0 you 0
are_you_being_a_baby 1582929815977 413 214 touchmove 411 22 21.15234375 21.15234375 0 you 0
are_you_being_a_baby 1582929815994 413 214 touchmove 395 20 21.15234375 21.15234375 0 you 0
are_you_being_a_baby 1582929816010 413 214 touchmove 368 20 21.15234375 21.15234375 0 you 0
are_you_being_a_baby 1582929816027 413 214 touchmove 331 23 21.15234375 21.15234375 0 you 0
are_you_being_a_baby 1582929816043 413 214 touchmove 299 26 21.15234375 21.15234375 0 you 0
are_you_being_a_baby 1582929816060 413 214 touchmove 274 28 21.15234375 21.15234375 0 you 0
