sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
hopefully_this_can_wait_until_monday 1581595097050 375 195 touchstart 227 95 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097126 375 195 touchmove 228 92 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097143 375 195 touchmove 235 90 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097160 375 195 touchmove 247 84 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097176 375 195 touchmove 262 76 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097193 375 195 touchmove 276 67 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097210 375 195 touchmove 290 59 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097226 375 195 touchmove 301 52 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097243 375 195 touchmove 312 46 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097259 375 195 touchmove 321 42 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097276 375 195 touchmove 330 39 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097292 375 195 touchmove 335 37 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097309 375 195 touchmove 341 36 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097326 375 195 touchmove 345 35 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097343 375 195 touchmove 347 35 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097392 375 195 touchmove 345 35 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097410 375 195 touchmove 333 35 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097426 375 195 touchmove 316 36 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097443 375 195 touchmove 296 38 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097459 375 195 touchmove 269 40 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097476 375 195 touchmove 242 40 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097493 375 195 touchmove 216 41 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097510 375 195 touchmove 191 41 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097526 375 195 touchmove 168 42 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097542 375 195 touchmove 149 43 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097559 375 195 touchmove 131 44 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097576 375 195 touchmove 114 45 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097592 375 195 touchmove 104 46 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097609 375 195 touchmove 99 46 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097626 375 195 touchmove 98 46 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097676 375 195 touchmove 104 47 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097693 375 195 touchmove 115 53 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097710 375 195 touchmove 131 63 12.823791503906 12.823791503906 0 hopefully 0
hopefully_this_can_wait_until_monday 1581595097729 375 195 touchmove 152 77 12.823791503906 12.823791503906 0 hopefully 0
