sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
i_changed_that_in_one_prior_draft 1582407313341 413 241 touchstart 309 33 25.771484375 25.771484375 0 i 0
i_changed_that_in_one_prior_draft 1582407313432 413 241 touchend 309 33 25.771484375 25.771484375 0 i 0
i_changed_that_in_one_prior_draft 1582407313664 413 241 touchstart 168 170 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407313698 413 241 touchmove 177 160 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407313708 413 241 touchmove 182 155 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407313724 413 241 touchmove 197 142 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407313741 413 241 touchmove 217 128 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407313755 413 241 touchmove 234 116 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407313771 413 241 touchmove 244 109 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407313789 413 241 touchmove 249 105 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407313806 413 241 touchmove 250 103 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407313821 413 241 touchmove 250 101 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407313839 413 241 touchmove 242 98 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407313857 413 241 touchmove 221 96 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407313873 413 241 touchmove 188 95 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407313890 413 241 touchmove 159 95 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407313908 413 241 touchmove 133 95 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407313922 413 241 touchmove 113 95 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407313940 413 241 touchmove 93 97 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407313957 413 241 touchmove 74 101 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407313973 413 241 touchmove 60 106 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407313990 413 241 touchmove 54 110 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314007 413 241 touchmove 54 112 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314022 413 241 touchmove 58 114 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314040 413 241 touchmove 79 119 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314057 413 241 touchmove 116 125 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314075 413 241 touchmove 154 134 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314090 413 241 touchmove 190 145 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314107 413 241 touchmove 221 155 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314122 413 241 touchmove 246 164 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314140 413 241 touchmove 265 166 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314157 413 241 touchmove 279 166 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314174 413 241 touchmove 284 159 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314190 413 241 touchmove 285 147 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314210 413 241 touchmove 283 130 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314222 413 241 touchmove 273 114 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314239 413 241 touchmove 260 97 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314256 413 241 touchmove 242 84 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314273 413 241 touchmove 221 75 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314289 413 241 touchmove 198 68 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314307 413 241 touchmove 176 60 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314324 413 241 touchmove 153 52 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314339 413 241 touchmove 132 45 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314354 413 241 touchmove 114 37 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314372 413 241 touchmove 97 32 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314389 413 241 touchmove 86 30 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314405 413 241 touchmove 79 30 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314422 413 241 touchmove 76 30 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314437 413 241 touchmove 75 34 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314454 413 241 touchmove 75 42 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314471 413 241 touchmove 75 53 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314487 413 241 touchmove 79 69 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314504 413 241 touchmove 87 83 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314520 413 241 touchmove 94 97 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314537 413 241 touchmove 103 107 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314554 413 241 touchmove 110 116 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314571 413 241 touchmove 115 121 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314588 413 241 touchmove 118 123 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314606 413 241 touchmove 119 124 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314631 413 241 touchmove 120 124 25.771484375 25.771484375 0 changed 0
i_changed_that_in_one_prior_draft 1582407314633 413 241 touchend 120 124 25.771484375 25.771484375 0 changed 0
