sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
it_reads_like_she_is_in 1582241058839 413 241 touchstart 314 30 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241058867 413 241 touchmove 302 28 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241058875 413 241 touchmove 298 28 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241058890 413 241 touchmove 292 28 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241058907 413 241 touchmove 278 25 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241058926 413 241 touchmove 263 23 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241058941 413 241 touchmove 248 22 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241058958 413 241 touchmove 234 22 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241058977 413 241 touchmove 220 22 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241058992 413 241 touchmove 207 23 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241059008 413 241 touchmove 196 25 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241059024 413 241 touchmove 186 26 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241059040 413 241 touchmove 177 27 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241059057 413 241 touchmove 172 27 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241059074 413 241 touchmove 168 28 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241059091 413 241 touchmove 168 29 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241059108 413 241 touchmove 167 29 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241059127 413 241 touchmove 167 30 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241059189 413 241 touchmove 168 30 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241059206 413 241 touchmove 172 28 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241059209 413 241 touchend 172 28 24.212890625 24.212890625 0 it 0
it_reads_like_she_is_in 1582241059888 413 241 touchstart 146 19 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241059949 413 241 touchmove 137 20 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241059966 413 241 touchmove 133 20 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241059983 413 241 touchmove 127 20 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241059999 413 241 touchmove 118 22 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060023 413 241 touchmove 108 24 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060039 413 241 touchmove 100 26 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060058 413 241 touchmove 92 29 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060069 413 241 touchmove 91 30 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060086 413 241 touchmove 88 31 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060104 413 241 touchmove 85 33 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060121 413 241 touchmove 82 35 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060138 413 241 touchmove 76 38 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060156 413 241 touchmove 68 41 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060173 413 241 touchmove 62 45 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060189 413 241 touchmove 57 48 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060205 413 241 touchmove 52 52 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060221 413 241 touchmove 49 57 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060238 413 241 touchmove 45 63 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060256 413 241 touchmove 42 70 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060272 413 241 touchmove 40 77 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060289 413 241 touchmove 39 82 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060306 413 241 touchmove 39 85 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060321 413 241 touchmove 39 88 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060337 413 241 touchmove 39 91 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060356 413 241 touchmove 43 94 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060371 413 241 touchmove 51 96 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060389 413 241 touchmove 64 97 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060406 413 241 touchmove 84 94 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060422 413 241 touchmove 106 84 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060439 413 241 touchmove 124 75 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060457 413 241 touchmove 135 71 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060472 413 241 touchmove 139 71 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060489 413 241 touchmove 141 71 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060520 413 241 touchmove 142 71 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060614 413 241 touchmove 141 71 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060631 413 241 touchmove 137 72 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060648 413 241 touchmove 129 74 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060664 413 241 touchmove 113 76 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060687 413 241 touchmove 90 79 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060704 413 241 touchmove 67 79 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060721 413 241 touchmove 58 80 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060738 413 241 touchmove 58 81 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060770 413 241 touchmove 59 82 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060790 413 241 touchmove 60 82 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060804 413 241 touchmove 61 82 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060822 413 241 touchmove 62 82 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060854 413 241 touchmove 63 82 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241060874 413 241 touchend 63 82 24.212890625 24.212890625 0 reads 0
it_reads_like_she_is_in 1582241061660 413 241 touchstart 374 101 24.212890625 24.212890625 0 like 0
it_reads_like_she_is_in 1582241061740 413 241 touchmove 366 97 24.212890625 24.212890625 0 like 0
it_reads_like_she_is_in 1582241061757 413 241 touchmove 356 89 24.212890625 24.212890625 0 like 0
it_reads_like_she_is_in 1582241061773 413 241 touchmove 336 71 24.212890625 24.212890625 0 like 0
it_reads_like_she_is_in 1582241061790 413 241 touchmove 321 55 24.212890625 24.212890625 0 like 0
it_reads_like_she_is_in 1582241061802 413 241 touchmove 297 30 24.212890625 24.212890625 0 like 0
it_reads_like_she_is_in 1582241061820 413 241 touchmove 290 23 24.212890625 24.212890625 0 like 0
it_reads_like_she_is_in 1582241061836 413 241 touchmove 289 22 24.212890625 24.212890625 0 like 0
it_reads_like_she_is_in 1582241061918 413 241 touchmove 290 22 24.212890625 24.212890625 0 like 0
