sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
transition_couple_horn_ferguson 1583444938977 413 206 touchstart 202 39 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939029 413 206 touchmove 197 41 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939047 413 206 touchmove 193 41 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939064 413 206 touchmove 187 41 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939079 413 206 touchmove 177 42 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939133 413 206 touchmove 143 42 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939146 413 206 touchmove 129 40 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939167 413 206 touchmove 116 40 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939180 413 206 touchmove 101 40 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939198 413 206 touchmove 89 46 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939215 413 206 touchmove 79 52 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939232 413 206 touchmove 70 56 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939249 413 206 touchmove 61 60 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939265 413 206 touchmove 56 62 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939280 413 206 touchmove 53 65 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939298 413 206 touchmove 52 67 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939314 413 206 touchmove 52 69 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939330 413 206 touchmove 52 72 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939348 413 206 touchmove 56 76 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939365 413 206 touchmove 65 81 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939381 413 206 touchmove 78 86 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939397 413 206 touchmove 95 90 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939414 413 206 touchmove 120 94 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939430 413 206 touchmove 144 100 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939447 413 206 touchmove 168 110 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939465 413 206 touchmove 193 120 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939480 413 206 touchmove 216 127 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939496 413 206 touchmove 237 130 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939513 413 206 touchmove 255 130 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939529 413 206 touchmove 271 130 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939547 413 206 touchmove 282 129 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939564 413 206 touchmove 291 127 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939580 413 206 touchmove 297 126 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939597 413 206 touchmove 302 125 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939613 413 206 touchmove 303 125 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939662 413 206 touchmove 294 125 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939679 413 206 touchmove 280 125 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939696 413 206 touchmove 262 123 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939712 413 206 touchmove 240 117 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939730 413 206 touchmove 220 110 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939747 413 206 touchmove 198 103 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939765 413 206 touchmove 177 99 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939780 413 206 touchmove 155 96 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939796 413 206 touchmove 138 93 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939813 413 206 touchmove 122 91 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939829 413 206 touchmove 111 90 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939846 413 206 touchmove 102 89 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939864 413 206 touchmove 96 88 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939879 413 206 touchmove 93 87 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939912 413 206 touchmove 97 87 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939929 413 206 touchmove 111 85 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939946 413 206 touchmove 128 82 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939964 413 206 touchmove 153 75 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939979 413 206 touchmove 180 66 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444939996 413 206 touchmove 213 55 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940016 413 206 touchmove 237 49 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940033 413 206 touchmove 260 46 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940048 413 206 touchmove 276 46 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940064 413 206 touchmove 293 46 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940079 413 206 touchmove 303 45 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940096 413 206 touchmove 312 44 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940113 413 206 touchmove 318 43 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940129 413 206 touchmove 322 42 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940146 413 206 touchmove 323 40 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940163 413 206 touchmove 323 39 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940179 413 206 touchmove 322 37 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940196 413 206 touchmove 311 36 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940213 413 206 touchmove 289 36 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940229 413 206 touchmove 262 38 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940246 413 206 touchmove 234 42 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940263 413 206 touchmove 209 44 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940279 413 206 touchmove 190 45 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940296 413 206 touchmove 172 46 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940313 413 206 touchmove 161 48 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940329 413 206 touchmove 154 49 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940346 413 206 touchmove 150 51 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940364 413 206 touchmove 149 53 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940379 413 206 touchmove 150 56 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940396 413 206 touchmove 162 56 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940413 413 206 touchmove 184 55 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940429 413 206 touchmove 209 45 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940447 413 206 touchmove 236 34 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940463 413 206 touchmove 262 27 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940479 413 206 touchmove 279 24 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940496 413 206 touchmove 294 23 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940512 413 206 touchmove 306 22 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940529 413 206 touchmove 315 22 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940547 413 206 touchmove 322 22 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940564 413 206 touchmove 327 22 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940579 413 206 touchmove 330 23 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940596 413 206 touchmove 331 26 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940612 413 206 touchmove 331 30 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940629 413 206 touchmove 331 41 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940647 413 206 touchmove 327 63 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940664 413 206 touchmove 322 84 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940679 413 206 touchmove 320 102 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940696 413 206 touchmove 320 115 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940713 413 206 touchmove 320 123 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940730 413 206 touchmove 321 129 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940746 413 206 touchmove 323 133 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940763 413 206 touchmove 325 135 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940779 413 206 touchmove 325 136 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940796 413 206 touchmove 324 138 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444940814 413 206 touchend 324 138 21.15234375 21.15234375 0 transition 0
transition_couple_horn_ferguson 1583444941314 413 206 touchstart 181 142 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941347 413 206 touchmove 187 140 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941365 413 206 touchmove 192 139 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941380 413 206 touchmove 200 135 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941396 413 206 touchmove 212 128 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941415 413 206 touchmove 227 118 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941432 413 206 touchmove 245 103 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941448 413 206 touchmove 263 89 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941468 413 206 touchmove 280 76 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941482 413 206 touchmove 295 66 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941498 413 206 touchmove 311 57 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941515 413 206 touchmove 322 50 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941532 413 206 touchmove 332 45 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941548 413 206 touchmove 340 40 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941565 413 206 touchmove 347 35 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941581 413 206 touchmove 351 32 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941597 413 206 touchmove 353 30 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941614 413 206 touchmove 353 28 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941646 413 206 touchmove 346 28 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941664 413 206 touchmove 332 31 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941679 413 206 touchmove 316 37 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941697 413 206 touchmove 304 37 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941714 413 206 touchmove 296 37 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941731 413 206 touchmove 290 37 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941748 413 206 touchmove 285 36 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941765 413 206 touchmove 283 34 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941780 413 206 touchmove 283 32 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941797 413 206 touchmove 283 30 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941814 413 206 touchmove 283 29 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941862 413 206 touchmove 284 29 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941880 413 206 touchmove 287 34 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941897 413 206 touchmove 292 40 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941912 413 206 touchmove 298 47 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941931 413 206 touchmove 309 54 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941950 413 206 touchmove 321 60 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941967 413 206 touchmove 331 65 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941980 413 206 touchmove 342 70 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444941998 413 206 touchmove 351 73 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942014 413 206 touchmove 360 76 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942031 413 206 touchmove 369 77 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942047 413 206 touchmove 378 77 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942065 413 206 touchmove 384 77 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942081 413 206 touchmove 390 77 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942096 413 206 touchmove 394 77 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942113 413 206 touchmove 397 77 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942130 413 206 touchmove 399 78 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942147 413 206 touchmove 399 81 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942164 413 206 touchmove 400 86 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942179 413 206 touchmove 400 91 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942196 413 206 touchmove 400 94 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942213 413 206 touchmove 400 96 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942230 413 206 touchmove 398 98 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942247 413 206 touchmove 391 99 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942264 413 206 touchmove 381 99 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942279 413 206 touchmove 364 97 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942296 413 206 touchmove 341 91 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942313 413 206 touchmove 320 86 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942330 413 206 touchmove 298 83 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942347 413 206 touchmove 278 81 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942364 413 206 touchmove 261 78 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942380 413 206 touchmove 243 73 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942396 413 206 touchmove 225 68 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942413 413 206 touchmove 205 64 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942429 413 206 touchmove 186 62 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942447 413 206 touchmove 168 61 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942464 413 206 touchmove 154 60 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942480 413 206 touchmove 141 58 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942496 413 206 touchmove 133 56 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942513 413 206 touchmove 128 54 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942530 413 206 touchmove 125 52 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942579 413 206 touchmove 126 52 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942596 413 206 touchmove 128 56 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444942614 413 206 touchend 128 56 21.15234375 21.15234375 0 couple 0
transition_couple_horn_ferguson 1583444943765 413 206 touchstart 241 97 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444943797 413 206 touchmove 254 87 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444943814 413 206 touchmove 262 79 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444943831 413 206 touchmove 276 69 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444943847 413 206 touchmove 296 56 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444943867 413 206 touchmove 314 45 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444943882 413 206 touchmove 326 39 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444943899 413 206 touchmove 335 34 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444943915 413 206 touchmove 341 30 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444943932 413 206 touchmove 344 28 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444943949 413 206 touchmove 345 27 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444943968 413 206 touchmove 344 27 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444943981 413 206 touchmove 332 28 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444943998 413 206 touchmove 310 37 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444944015 413 206 touchmove 283 49 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444944031 413 206 touchmove 254 56 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444944047 413 206 touchmove 224 59 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444944065 413 206 touchmove 197 59 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444944080 413 206 touchmove 173 59 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444944097 413 206 touchmove 155 56 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444944114 413 206 touchmove 138 54 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444944129 413 206 touchmove 127 52 21.15234375 21.15234375 0 horn 0
transition_couple_horn_ferguson 1583444944147 413 206 touchmove 120 50 21.15234375 21.15234375 0 horn 0
