sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
pressure_to_finish_my_review 1581627302495 413 241 touchstart 405 32 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302657 413 241 touchmove 396 35 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302669 413 241 touchmove 394 39 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302685 413 241 touchmove 389 43 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302701 413 241 touchmove 383 46 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302708 413 241 touchmove 380 47 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302725 413 241 touchmove 372 49 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302742 413 241 touchmove 358 53 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302759 413 241 touchmove 337 61 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302778 413 241 touchmove 314 70 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302795 413 241 touchmove 295 78 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302810 413 241 touchmove 275 84 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302826 413 241 touchmove 259 86 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302843 413 241 touchmove 241 87 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302859 413 241 touchmove 224 87 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302875 413 241 touchmove 207 87 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302892 413 241 touchmove 191 84 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302910 413 241 touchmove 177 82 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302925 413 241 touchmove 167 79 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302943 413 241 touchmove 159 75 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302962 413 241 touchmove 154 71 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302977 413 241 touchmove 150 65 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627302993 413 241 touchmove 146 59 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303010 413 241 touchmove 142 51 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303029 413 241 touchmove 140 42 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303045 413 241 touchmove 139 35 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303061 413 241 touchmove 139 29 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303078 413 241 touchmove 139 25 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303094 413 241 touchmove 139 23 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303125 413 241 touchmove 139 22 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303270 413 241 touchmove 139 23 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303295 413 241 touchmove 139 24 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303303 413 241 touchmove 137 24 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303320 413 241 touchmove 134 24 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303326 413 241 touchmove 131 24 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303343 413 241 touchmove 123 24 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303360 413 241 touchmove 116 22 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303377 413 241 touchmove 114 19 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303395 413 241 touchmove 113 18 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303460 413 241 touchmove 113 19 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303465 413 241 touchmove 113 21 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303477 413 241 touchmove 112 24 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303493 413 241 touchmove 108 29 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303510 413 241 touchmove 103 35 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303527 413 241 touchmove 98 42 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303544 413 241 touchmove 93 51 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303569 413 241 touchmove 90 59 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303576 413 241 touchmove 88 67 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303594 413 241 touchmove 87 75 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303611 413 241 touchmove 86 82 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303626 413 241 touchmove 84 89 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303645 413 241 touchmove 84 94 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303662 413 241 touchmove 83 97 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303678 413 241 touchmove 82 98 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303696 413 241 touchmove 82 99 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627303725 413 241 touchmove 82 100 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304461 413 241 touchmove 83 100 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304478 413 241 touchmove 83 99 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304485 413 241 touchmove 85 99 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304502 413 241 touchmove 93 97 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304510 413 241 touchmove 97 96 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304527 413 241 touchmove 108 92 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304543 413 241 touchmove 121 86 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304561 413 241 touchmove 136 79 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304578 413 241 touchmove 152 73 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304594 413 241 touchmove 168 67 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304611 413 241 touchmove 183 62 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304627 413 241 touchmove 197 59 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304645 413 241 touchmove 208 56 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304662 413 241 touchmove 217 53 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304676 413 241 touchmove 226 50 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304693 413 241 touchmove 233 47 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304711 413 241 touchmove 240 45 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304728 413 241 touchmove 244 42 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304745 413 241 touchmove 248 41 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304761 413 241 touchmove 250 40 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304778 413 241 touchmove 252 40 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304793 413 241 touchmove 254 40 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304810 413 241 touchmove 257 38 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304826 413 241 touchmove 261 37 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304843 413 241 touchmove 265 36 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304860 413 241 touchmove 267 35 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304878 413 241 touchmove 268 35 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627304895 413 241 touchmove 269 35 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305002 413 241 touchmove 268 35 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305010 413 241 touchmove 267 35 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305027 413 241 touchmove 265 35 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305044 413 241 touchmove 262 35 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305060 413 241 touchmove 258 35 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305076 413 241 touchmove 251 35 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305095 413 241 touchmove 240 35 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305112 413 241 touchmove 226 35 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305128 413 241 touchmove 212 35 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305145 413 241 touchmove 201 35 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305160 413 241 touchmove 188 35 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305177 413 241 touchmove 176 35 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305194 413 241 touchmove 164 35 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305212 413 241 touchmove 153 34 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305228 413 241 touchmove 146 34 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305245 413 241 touchmove 140 34 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305261 413 241 touchmove 138 34 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305278 413 241 touchmove 137 33 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305295 413 241 touchmove 137 32 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305502 413 241 touchmove 136 32 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305519 413 241 touchmove 132 31 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305536 413 241 touchmove 126 31 12.87890625 12.87890625 0 pressure 0
pressure_to_finish_my_review 1581627305553 413 241 touchmove 119 30 12.87890625 12.87890625 0 pressure 0
