sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
what_a_jerk 1581411702996 413 214 touchstart 66 19 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703032 413 214 touchmove 69 21 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703043 413 214 touchmove 75 24 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703057 413 214 touchmove 86 31 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703064 413 214 touchmove 99 38 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703076 413 214 touchmove 110 44 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703086 413 214 touchmove 124 50 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703095 413 214 touchmove 138 54 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703111 413 214 touchmove 153 58 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703116 413 214 touchmove 169 61 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703125 413 214 touchmove 184 64 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703134 413 214 touchmove 200 66 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703144 413 214 touchmove 216 68 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703158 413 214 touchmove 230 70 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703165 413 214 touchmove 242 73 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703176 413 214 touchmove 250 76 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703186 413 214 touchmove 257 79 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703197 413 214 touchmove 262 80 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703208 413 214 touchmove 266 81 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703216 413 214 touchmove 269 83 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703227 413 214 touchmove 272 85 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703239 413 214 touchmove 274 87 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703247 413 214 touchmove 276 88 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703258 413 214 touchmove 277 88 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703279 413 214 touchmove 277 89 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703291 413 214 touchmove 276 89 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703298 413 214 touchmove 268 90 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703310 413 214 touchmove 253 90 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703318 413 214 touchmove 235 90 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703329 413 214 touchmove 215 90 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703342 413 214 touchmove 195 89 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703350 413 214 touchmove 175 86 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703360 413 214 touchmove 158 84 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703371 413 214 touchmove 141 84 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703381 413 214 touchmove 125 84 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703392 413 214 touchmove 111 84 31.728515625 31.728515625 0 what 0
what_a_jerk 1581411703400 413 214 touchmove 99 84 31.728515625 31.728515625 0 what 0
